January 11 2011   8:08:31.210 AM
 
TOMS757_PRB:
  FORTRAN90 version
  Test the TOMS757 library.
 
TEST01
  Testing function ABRAM0
 
     Argument             Abs. error             Rel. error
    50.0000000000      0.00000D+00            0.00000D+00
   100.0000000000      0.00000D+00            0.00000D+00
 
TEST23
  Testing function STROMGEN
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.73956D-31            0.33768D-15
     0.0078125000      0.00000D+00            0.00000D+00
     0.0312500000      0.00000D+00            0.00000D+00
     0.1250000000      0.52940D-22            0.21416D-15
     0.5000000000      0.54210D-19            0.18698D-15
     1.0000000000      0.00000D+00            0.00000D+00
     1.5000000000      0.00000D+00            0.00000D+00
     2.0000000000      0.55511D-16            0.13861D-15
     3.0000000000      0.44409D-15            0.14558D-15
     4.0000000000      0.17764D-14            0.15626D-15
     4.1250000000      0.26112D-12            0.20147D-13
     4.5000000000      0.35527D-13            0.19153D-14
     5.0000000000      0.17053D-12            0.61196D-14
     6.0000000000      0.42633D-13            0.82044D-15
     8.0000000000      0.17053D-12            0.15701D-14
    10.0000000000      0.56843D-13            0.36962D-15
    15.0000000000      0.00000D+00            0.00000D+00
    20.0000000000      0.00000D+00            0.00000D+00
    30.0000000000      0.00000D+00            0.00000D+00
    50.0000000000      0.28422D-13            0.14463D-15
 
TEST24
  Testing function STRUVE_H0
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.21684D-18            0.17439D-15
    -0.0078125000      0.86736D-18            0.17439D-15
     0.0625000000      0.00000D+00            0.00000D+00
    -0.2500000000      0.55511D-16            0.35122D-15
     1.0000000000      0.33307D-15            0.58571D-15
     1.2500000000      0.11102D-15            0.16670D-15
     2.0000000000      0.00000D+00            0.00000D+00
    -4.0000000000      0.55511D-16            0.41115D-15
     7.5000000000      0.83267D-16            0.41454D-15
    11.0000000000      0.69389D-16            0.62276D-15
    11.5000000000      0.55511D-16            0.32602D-15
   -16.0000000000      0.16653D-15            0.12295D-14
    20.0000000000      0.13878D-15            0.14702D-14
    25.0000000000      0.69389D-16            0.68145D-15
   -30.0000000000      0.69389D-16            0.72206D-15
    50.0000000000      0.15266D-15            0.17888D-14
    75.0000000000      0.97145D-16            0.12635D-14
   -80.0000000000      0.17347D-15            0.36395D-14
   100.0000000000      0.41633D-16            0.58739D-15
  -125.0000000000      0.13878D-16            0.21106D-15
 
TEST25
  Testing function STRUVE_H1
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.10588D-21            0.13080D-15
    -0.0078125000      0.16941D-20            0.13080D-15
     0.0625000000      0.10842D-18            0.13083D-15
    -0.2500000000      0.34694D-17            0.26268D-15
     1.0000000000      0.27756D-16            0.13986D-15
     1.2500000000      0.00000D+00            0.00000D+00
     2.0000000000      0.11102D-15            0.17166D-15
    -4.0000000000      0.22204D-15            0.20757D-15
     7.5000000000      0.22204D-15            0.57182D-15
    11.0000000000      0.56927D-01            0.76050D-01
    11.5000000000      0.14737D+00            0.17406D+00
   -16.0000000000      0.23320D+00            0.39941D+00
    20.0000000000      0.33332D+00            0.41354D+00
    25.0000000000      0.11102D-15            0.20605D-15
   -30.0000000000      0.11102D-15            0.15382D-15
    50.0000000000      0.22204D-15            0.38278D-15
    75.0000000000      0.44409D-15            0.73828D-15
   -80.0000000000      0.44409D-15            0.62892D-15
   100.0000000000      0.33307D-15            0.54042D-15
  -125.0000000000      0.55511D-15            0.88424D-15
 
TEST26
  Testing function STRUVE_L0
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.00000D+00            0.00000D+00
    -0.0312500000      0.69389D-17            0.34875D-15
     0.1250000000      0.13878D-16            0.17409D-15
    -0.5000000000      0.55511D-16            0.16963D-15
     1.0000000000      0.00000D+00            0.00000D+00
     2.0000000000      0.11102D-14            0.57304D-15
    -4.0000000000      0.00000D+00            0.00000D+00
     7.0000000000      0.14211D-12            0.84337D-15
   -10.0000000000      0.90949D-12            0.32301D-15
    16.0000000000      0.11642D-08            0.13030D-14
    16.2500000000      0.11642D-08            0.10228D-14
   -17.0000000000      0.46566D-09            0.19774D-15
    20.0000000000      0.74506D-08            0.17105D-15
    22.5000000000      0.00000D+00            0.00000D+00
   -25.0000000000      0.76294D-05            0.13212D-14
    30.0000000000      0.97656D-03            0.12493D-14
